Diseases	Genes
adrenal gland diseases	3758,215,3762,1589,1585,6770,2516,6557,5573,2778,7809,1584,1586,51,1187,190,3284,7157
alzheimer disease	5663,23036,348,5664,55103,10452,1191,2629,2041,10913,51435,4536,4535,351,7305,4973,5819,344558,1378,9627,8301,23607,945,5071,341,274,25902,9846,54209
amino acid metabolism inborn errors	445,383,2109,3815,11234,388552,4286,275,2110,6898,7299,435,7306,5096,37,36,875,5009,3257,84343,34,89781,28976,10157,84062,8546,26258,2731,1585,2653,593,2108,686,5053,1738,35,5092,10165,2184,5095,3141,5860,4935,79803,594,1373,5184,3242,3081,1629,2639,27034
amyotrophic lateral sclerosis	6647,1639,6311,57679,10133,2521,998,22920,203228,283,1804,23064,4744,23025,9217,54822,7074,155061,7415,29978,23435
anemia aplastic	3458,6125,6135,7015,2187,6229,2177,2175,2176,6223,6218,55215,4683,6201,6231,6165,2189,55120,2178,6204,79728
anemia hemolytic	629,51251,146059,6708,2539,3043,2035,2729,203,6710,3426,3098,6521,3075,2623,2821,7056,5277,718,10483,286,2038,3040,4179,81494,546,10661,3039,50943
aneurysm	90627,66037,4035,2200,153090,5932,59,7048,7046,1281,6101,64321,4638,4088,4629
arrhythmias cardiac	3759,6640,10008,10060,5308,3757,51422,287,3753,55800,387101,3762,6331,6324,10021,4878,3741,1804,387119,775,859,3784,783,9992,9722,10142,4624,463,2702,6330
arterial occlusive diseases	348,54984,8613,221692,79659,23294,1284,55973,10743,2921,84159,4040,5294,80310,8882,57674,375056,6597,51530,1909,28,6943,7015,4205,55759,1008,217,3184,10400,84722,23293,8997,23209,9992,341,6387,1495,4018,22808,65264,22882,1282,1952,59
arteriosclerosis	54984,8613,79659,23294,1284,55973,10743,1909,84159,4040,5294,80310,8882,375056,6597,51530,221692,28,6943,7015,4205,55759,217,23293,10400,84722,348,8997,23209,9992,341,6387,4018,22808,65264,22882,1282,1952
arthritis rheumatoid	3569,5211,200734,90355,6775,7185,55937,3123,326,3135,4277,1235,115352,23569,958,3127,3118,5966,164832,3559,6583,3117,6366,11170,26191,3309,79722,4282,54665,23534,26147,7128,83648,167826,4795,3663,4855,3119,3516,3899,1493,640
asthma	5089,6046,80332,85480,1118,3119,91137,1116,3570,57628,9283,3113,169026,23418,3117,3111,6821,64375,1999,4088,4589,3122,3560,56946,30009,7941,9173,94103,26953,1017,4855,90865,8809,3115,3118,84640,5144
basal ganglia diseases	2580,4137,55145,7345,4724,3064,1861,11315,10228,114798,3122,2629,55737,6239,80025,23636,1981,120892,9451,4336,926,29119,57111,4905,130013,8934,6622,7473,25793,540,9627,7054,27429,1006,56922,644150,65018,3662,2512,8398,952,26058,80704,5071,23400
behcet syndrome	4340,4276,29113,3595,149233,8870,3107,3106,170680,3586,54535,780,3135
bile duct diseases	1656,643,120,3592,4126,7132,4853,4664,51300,4790,3595,3930,5890,182,5244,3118,23534,4485,3394,10165,8986,5155,22806,23228,3663,8647,9844,10018,3119,6689,6122
blood coagulation disorders	8546,2243,5627,84343,3674,2162,2159,7454,2677,2153,3690,3257,2155,2158,3717,3998,388552,3075,90411,84062,2157,26258,2815,2812,2244,5624,2147,11093,948,89781,2165,7450,1675,7066,79803,11234,462,2266,2160,2161
blood platelet disorders	11234,84343,3674,629,2812,3690,3257,3717,388552,3426,3075,84062,8546,26258,2815,7454,7056,718,11093,89781,54205,4179,81494,7066,79803,948
breast neoplasms	83990,53335,11200,2192,672,51592,10884,577,80205,9497,595,57161,5892,7141,4856,4214,150094,2263,7517,7015,675,22891,5889,4046,5888,4683,208,207,5290,10371,80129,2255,5168,57178,81847,9833,29086,79728,2099,4916
carbohydrate metabolism inborn errors	374291,4669,56052,6389,189,2998,9382,4125,2592,5373,4126,178,25839,5257,51251,4508,5837,411,10466,5160,4723,2997,2539,2548,5836,2588,2720,5224,79796,5261,229,7841,3920,85365,2990,2203,10195,5091,4351,1355,2584,91949,91869,5428,2582,5256,2632,57192,5162,4537,686,4728,9380,4247,1798,2799,2517,79158,84572,3423,2538,84342,51204,5255,5213,22845,51422,8813,5236,3141,4540,6448,2683,9526,4758,3425,440138
carcinoma renal cell	79663,4968,79058,4233,4841,595,6421,8082,201163,3709,7030,949,2271,55193,11236,2034,7428,5546
cardiomyopathies	79188,4624,5663,7273,5664,10060,5350,11155,51422,85366,4625,3728,5318,6444,6262,7168,57158,7137,6331,4646,3920,70,7112,9531,4634,1829,7709,131118,6261,4000,88,1756,7139,7414,7134,6901,859,4607,91624,8557,1832,2070,6442,1824,51778,4633,1674,1837,8048,6389
cardiomyopathy hypertrophic	7273,7139,5350,51422,85366,4625,4624,7168,57158,4646,70,4634,7137,7414,7134,859,4607,91624,8557,51778,4633,8048
celiac disease	5771,3558,3592,57514,2113,864,3676,10019,5996,389015,2720,84162,10477,1230,3117,1233,6311,8807,7128,167826,2829,23308,9173,59067,4650,5796,25949,5619,57178,116028,8809,4026,60468,5341,1493,29851
cerebellar ataxia	3736,23064,6507,5173,9640,472,56652,6908,146057,3708,5582,55775,85300,10939,4287,6311,5428,8622,6712,773,23345,785,5521,6314,56997,255928,10528,5080,6310,25814
cerebrovascular disorders	2934,2717,4524,5308,3565,241,1946,27072,8938,4538,90627,2153,6263,2921,9445,1636,3184,5144,1008,4535,351,4541,51205,51128,6346,4854,66037,4815,2147,57674,64321,2565,23209,337880,5654,2043,1495,5932,1471,65125,6101,6403,5583,1282,132789,4540,59
charcot-marie-tooth disease	9927,23095,7879,8898,4747,9516,4359,26353,1959,4000,1778,81857,5376,3236,2705,121512,16,3315,1785,3735,8988,5631,8565,59341,81846,2617,10397
colitis ulcerative	3458,1001,3394,2768,56946,2308,3554,11315,54361,8209,1601,5734,23308,54546,3127,3579,3717,3577,9966,54535,8764,7422,127281,3586,5307,1611,639,3172,4046,2805,167826,1738,159296,4485,55765,7128,57154,2212,8771,147,57511,64170,3663,8204,8927,3593,149233,1811,9923,3575,7850,6550,219771,9555,55722,327
colorectal neoplasms	7486,55892,6447,4089,11221,999,6581,2956,650,5395,27030,657,5979,7227,324,85415,466,2778,8667,4436,79695,4088,57609,1499,8313,652,4512,673,4522,862,207,4092,3911,4763,4595,4072,5606,7048,2042,5290,4292,26585
coronary artery disease	8613,79659,23294,1284,55973,10743,84159,4040,80310,221692,375056,6597,51530,8882,28,6943,7015,4205,55759,217,10400,84722,23293,8997,9992,6387,4018,22808,65264,1282,1952
crohn disease	8600,157638,339479,56946,56984,3717,63027,8995,1201,6122,283234,8209,6304,5771,1601,57178,2297,5334,8863,7297,10067,55054,10221,64407,356,3559,9966,7332,10320,64127,120892,1050,4088,6774,63892,3586,8807,639,22891,5734,3976,8453,677,11262,2646,26191,159296,4485,1788,23308,134288,84619,5155,147,54901,64170,2805,11116,8204,56301,3593,6347,149233,284358,85027,80762,55600,60468,6354,253430,8927,25824
death sudden	22822,29994,98,11216,6331,6662,7259,3781,23768,284252,2581,859,284217,84441,11278,2099,64848,3764,2890
diabetes mellitus type 2	169792,53335,60685,9559,79571,2888,54602,3087,5078,9223,3667,63892,4853,3636,10239,9861,55323,3767,5122,4544,221895,5167,7297,6833,5506,8622,5789,23101,10363,9905,169026,6517,4760,10644,79068,6928,10296,9370,4535,7466,9055,135154,3643,83795,11132,10253,57624,54469,3172,6934,6480,5937,54536,6927,8872,2184,57118,57104,3630,116985,54901,9479,8638,8462,8567,3784,640,1852,5184,63826,94241,3651,22837
dwarfism	169792,2200,2074,3481,8022,4591,2688,7474,2692,1161,8820,1280,81794,59341,7080,1482,7038,8200,389434,2260,2690,6777,2693,7253,50506,2261
esophageal diseases	6657,861,4481,51196,10391,125,11178,222643,6049,7157,4613,8125,217,57707,51741,283450,23406,80724,51008,1452,7048,4293,85480,5144
exophthalmos	2914,4276,4295,11116,23,29113,7253,3119,3118,3710,1493,399,115352
glomerulonephritis	8542,23607,5696,6665,1285,7225,22925,4643,4855,3118,3119,3117,8741,8897,3075,81,9526,3123
gout	6446,5289,7369,116085,257397,6014,40,5649,5871,2895,7536,7547,7092
graves disease	2914,4276,4295,11116,23,29113,7253,3119,3118,3710,1493,399,115352
head and neck neoplasms	4340,131,3265,861,3123,51196,4221,125,595,11178,51079,26278,222643,55504,3117,7157,2304,6049,217,84312,79577,51741,283450,80018,80724,3106,8125,1452,2122,7048,8626,51562,4293,5144,10391
hypothalamic diseases	9049,8022,374654,22954,2688,84100,8195,123016,5626,2778,2692,129880,8820,55212,79738,54903,80184,91147,582,585,6658,2737,583
leukemia b-cell	50515,472,5450,694,604,6176,10272,3662,9855,11262,596,4609,115761,602,25865,3431,254065
leukemia myeloid	9321,26511,84936,57082,10499,861,7994,4330,79142,7704,2033,3815,4869,2078,63976,3717,865,5371,5914,8833,1387,2120,2322,23305,4928,7913,8522,64783,10801,57591,2000,54904,4629,5159,2521,64324,3845,3205,2122,8021,4026,153090,862
